xe…,наш:INCL
me,DEMM
meʜemed,Магомед
bic’i,маленький
gada,сын
ij,COP:PST
me,DEMM
amirg-u-ne,{IN}оставаться-PF-AOR
ha-me,EM-DEMM
ame-a,{IN}оставаться-PRS
mi-n,DEMM-GEN
šünükː-ar,ребенок-PL
hal,теперь
rus.di-ʔ,Мегион-IN
jašamiš,<жить>
x-a-a,стать-IPF-PRS
rus,в_основном
aχpːa,потом
xe-tː-ar.i-k-as,наш:INCL-S-PL-SUB/CONT-ELAT
ʡali-n,Али-GEN
ʡali-s,Али-DAT
x-u-ne,стать-PF-AOR
ʡali-n,Али-GEN
xir,жена
suna,Суна
aʁ-a-jde-f,говорить-IPF-PT:HAB-S
ij,COP:PST
ʜabaw,бабушка
če,наш:EXCL
ʡali-n,Али-GEN
suna.ji-s,Суна-DAT
ruχ-u-ne,рождаться-PF-AOR
isaq’,Исак
isaq’,Исак
adad,дядя
aχpːaj,потом
me,DEMM
eʜmed,Ахмед
če,наш:EXCL
dad,отец
meʜemed,Магомед
pːaalaj,Паалай
i,и
fiš,кто
sefijat,Сефият
ʕabidat,Абидат
aʁ-a-jde,говорить-IPF-PT:HAB
ruš-ar,дочь-PL
ʕabidat,Абидат
rus.di-s,Киргизстан-DAT
fajš-u-na,уносить-PF-CONV
rus,тридцать
rus,седьмой
rus.di-s,год-DAT
e-wa,COP-Q
mus-či,когда-INDEF
atk-i-na,{IN-ELAT}гнать-PF-CONV
ti-sa-ʔ,DEMT-LOC-IN
k’-i-ne,умирать-PF-AOR
rus.di-ʔ,Киргизия-IN
rus.i-ʔ,Фрунзе-IN
kičik’-i-naje-f-e,{SUN/CONT-LAT}совать-PF-PT:PRF-S-COP
pːaalaj,Паалай
abaw=ra,тетя=ADD
amirg-u-ne,{IN}оставаться-PF-AOR
čin=na,мы:EXCL=ADD
amirg-u-ne,{IN}оставаться-PF-AOR
meʜemed,Магомед
čːučːu=ra,старший_брат=ADD
mi-sa-ʔ,DEMM-LOC-IN
amirg-u-ne,{IN}оставаться-PF-AOR
bakːu-jar.i-as,Баку-PL-(IN)ELAT
qaj-na,RE:приходить:PF-CONV
mi-sa,DEMM-LOC(IN)
k’-i-ne,умирать-PF-AOR
ha-mi-štːi,EM-DEMM-ADV
sekin,спокойный
x-u-tː-ar,стать-PF-S-PL
e,COP
xe-tː-ar,наш:INCL-S-PL
gaha,DEMG:PRED
xe,наш:INCL
tuχum,тухум
ha-ge,EM-DEMG
e,COP
aχpːa,потом
wa-s,ты-DAT
xʲa-s,мы:INCL-DAT
šünükː-ar,ребенок-PL
x-u-ne,стать-PF-AOR
dad.a-s,отец-DAT
x-u-ne,стать-PF-AOR
zun,я
q’ulban,Курбан
xe,наш:INCL
ʡu-d=ra,два-S=ADD
zibejdat=ra,Зибейдат=ADD
nadijat,Надият
hal,теперь
ze,мой
šünükː-ar,ребенок-PL
wari,все
čun,вы
q’ulban.a,Курбан(GEN)
šünükː-ar,ребенок-PL
ami-ja,{IN}оставаться-PRS
aχpːa,потом
sefijat.a-tː-ar,Сефият(GEN)-S-PL
mut’alib=ra,Муталиб=ADD
musajib,Мусайиб
musa,Муса
x-u-ne,стать-PF-AOR
fiš,кто
wow-ge,OST-DEMG
t’awus=na,Тавус=COORD
qːizlar.di,Кизляр(IN)
a-je,{IN}быть-PT
fiš,кто
aʁ-a-ji,говорить-IPF-PST
ti-s,DEMT-DAT
selmi,Селми
selmi,Селми
selmi,Селми
t’awus=na,Тавус=COORD
selmi,Селми
ti-s,DEMT-DAT
x-u-ne,стать-PF-AOR
pːaalaj,Паалай
abaw.a-s,тетя-DAT
x-u-ne,стать-PF-AOR
suwar,Сувар
aʁ-a-jde,говорить-IPF-PT:HAB
ruš,дочь
aχpːa,потом
sara,еще
x-u,[стать-PF]
hirizat=ra,Гиризат=ADD
du,COP:NEG:Q
hirizat,Гиризат
ʜaǯiramazan=na,Гаджирамазан=COORD
ʜamid,Гамид
gada-jar,сын-PL
pːaalaj,Паалай
abaw.a-n,тетя-GEN
šuw,муж
qːa-n=na,двадцать-S=COORD
c’eje…,[шестнадцать]
c’e…,[шестнадцать]
qːa-n=na,двадцать-S=COORD
c’ejerxi-d-punde,шестнадцать-S-ORD
is.a,год(TMR)
rus,тридцать
rus,шестой
rus.di-s,год-DAT
fac-u-na,хватать-PF-CONV
fajš-u-naje-tː-ar,уносить-PF-PT:PRF-S-PL
e,COP
te-wur,DEMT-PL
rus,так
kulak-ar,кулак-PL
e-j,COP-CONV
dawa,COP:NEG
te-wur,DEMT-PL
no,но
ʜaǯi-efendi,Гаджи-Эфенди(GEN)
band,банда
ʁajš-i-naje-f-ij,вставать-PF-PT:PRF-S-COP:PST
rus,советский
rus,власть
x-u-nde,стать-PF-PT:AOR
is-ar.i,год-PL(TMR)
te,DEMT
wäʕda.ji,время(TMR)
rus,против
rus,советский
rus.i-s,власть-DAT
ʁajš-a-j,вставать-IPF-CONV
x-u-ne,стать-PF-AOR
χalq’-ar,народ-PL
rus,<агитировать>
aq’-u-na,делать-PF-CONV
aχpːa,потом
me-wr.i,DEMM-PL(ERG)
ha-te-wr.i,EM-DEMT-PL(GEN)
pːad,сторона
fac-u-ne,хватать-PF-AOR
bigim.a,Бигим(GEN)
malla,Малла
aχpːa,потом
ha-te,EM-DEMT
bigim.a,Бигим(GEN)
bigim.a,Бигим(GEN)
maʜamad,Магомед
ʡabdullah,Абдуллах
čʷe,ваш
ʜadad.a-n,дедушка-GEN
ču,брат
me-wur,DEMM-PL
fajš-u-na,уносить-PF-CONV
ačik-i-ne,{IN-LAT}гнать-PF-AOR
dad=ra,отец=ADD
k’-i-ne,умирать-PF-AOR
me-wur,DEMM-PL
k’-i-ne,умирать-PF-AOR
küteʜ,конец
x-u-ne,стать-PF-AOR
aχpːa,потом
te-wr.i-q,DEMT-PL-POST
fiš,кто
qa-je-f-ij,{POST}быть-PT-S-COP:PST
ʜabib,Габиб
aʁ-a,говорить-IPF
gada,сын
ʜabib=na,Габиб=COORD
meʜemed,Магомед
hiš-i-na,убегать-PF-CONV
bakːu-jar.i,Баку-PL(IN)
ti-s-ar.i,DEMT-LOC-PL(IN)
amirg-u-ne,{IN}оставаться-PF-AOR
meʜemed.i-n,Мегомед-GEN
tːur,имя
čʷe,ваш
te,DEMT
rus,фактически
q’urbanow,Курбанов
meʜemed,Магомед
e,COP
ti-s,DEMT-DAT
gadžijew,Гаджиев
aʁ-a-je-f-e,говорить-IPF-PT:PRS-S-COP
te,DEMT
gadžijew,Гаджиев
fi-štːi,что-ADV
tːur,имя
x-u-f-či,стать-PF-S-COP+COND
ʜa-j-e-wa,знать-CONV-COP-Q
te,DEMT
sawet-ar.i,советский-PL(GEN)
ʜukumat,государство
x-u,стать-PF
wäʕda.ji,время(TMR)
hiš-i-guna,убегать-PF-TEMP
mi-sa-as,DEMM-LOC-(IN)ELAT
šümüʜür.a-ʔ,Шимихюр-IN
ge-wr.i-n,DEMG-PL-GEN
sa,один
ʜulašuw,кунак
x-a-j-e,стать-IPF-CONV-COP
hal=la,теперь=ADD
ame-a,{IN}оставаться-PRS
ge-wr.i-n,DEMG-PL-GEN
tuχum-ar,тухум-PL
gi-sa-ʔ,DEMG-LOC-IN
sewetː.di-n,сельсовет-GEN
fiš,кто
ij,COP:PST
rus,бухгалтер
ij,COP:PST
ge,DEMG
gada,парень
qːabiša,??
meʜemed,Магомед
aʁ-a-f,говорить-IPF-S
gadžijew,Гаджиев
meʜemed,Магомед
aχpːa,потом
ha-ge-wur,EM-DEMG-PL
ʜul-ar,кунак-PL
ij,COP:PST
ha-gi-s,EM-DEMG-DAT
ha-gi-sa-as,EM-DEMG-LOC-(IN)ELAT
rus,справка
ʁuš-u-na,брать-PF-CONV
x-u-ne,стать-PF-AOR
uč.i-s,сам-DAT
sewetː.tːi-as,сельсовет-(IN)ELAT
gadžijew,Гаджиев
meʜemed,Магомед
p-u-na,говорить-PF-CONV
ha-ge,EM-DEMG
gadžijew,Гаджиев
meʜemed,Магомед
aʁ-a-jde,говорить-IPF-PT:HAB
rus,справка
i-na,давать:PF-CONV
ha-gi-n,EM-DEMG-GEN
k’eǯ=ra,письмо=ADD
fa-j,{APUD}быть-CONV
š-u-f-e,уходить-PF-S-COP
me,DEMM
bakːu.ji-s,Баку-DAT
bakːu.ji-s,Баку-DAT
š-u-na,уходить-PF-CONV
balaχan.i,Балаханы(IN)
ǯehil,молодой
gada,парень
x-u-ne,стать-PF-AOR
bakːu.ji,Баку(IN)
balaχana.ji,Балаханы(IN)
azerbaǯan-ar.i-n,Азербайджан-PL-GEN
χul-ar.i-l,дом-PL-SUPER
kar,дело
aq’-a-j,делать-IPF-CONV
hak’an,простой
rus,RUSSIAN
rus,домработник
x-u-ne,стать-PF-AOR
ha-te-wr.i,EM-DEMT-PL(ERG)
aχpːa,потом
rus-ar,паспорт-PL
aq’-u-ne,делать-PF-AOR
rus-ar,документ-PL
aq’-u-na,делать-PF-CONV
ha-ti-sa,EM-DEMT-LOC(IN)
aʜa,большой
aq’-u-na,делать-PF-CONV
ha-ti-sa,EM-DEMT-LOC(IN)
aχpːa,потом
c’ik’in-ar,свадьба-PL
aq’-u-f-e,делать-PF-S-COP
gi-s,DEMG-DAT
bakːu.ji-ʔ,Баку-IN
ʜabib,Габиб
ha-ti-sa,EM-DEMT-LOC(IN)
k’-i-ne,умирать-PF-AOR
mi-č,DEMM-LAT
qaj-na,RE:приходить:PF-CONV
ʜür.i-s,село-DAT
qaj-na,RE:приходить:PF-CONV
ʜür.i-s…,село-DAT
k’-i-f-e,умирать-PF-S-COP
jaʜja,Яхья
aʁ-a-jde,говорить-IPF-PT:HAB
gada=ra,сын=ADD
qa-ji,{POST}быть-PST
te,DEMT
jaʜja=ra,Яхья=ADD
k’-i-f-e,умирать-PF-S-COP
te-wr.i-n,DEMT-PL-GEN
xe-tː-ar,наш:INCL-S-PL
gahgi-štːi,RDP:DEMG-ADV
x-u-naje-f-e,стать-PF-PT:PRF-S-COP
xe,наш:INCL
tuχum,тухум
wun,ты
suna,Суна
ʜabaw.a-q-as,бабушка-POST-ELAT
qatːq’-a-s-e,рассказывать-IPF-INF-COP
aʁ-a-ji,говорить-IPF-PST
suna,Суна
ʜabaw,бабушка
pːara,много
ʡaq’ullu,умный
dišehli,женщина
ij,COP:PST
suna,Суна
ʜabaw.a-l-di,бабушка-SUPER-LAT
ʕʷ-a-je-f-ij,идти-IPF-PT:PRS-S-COP:PST
k’ildi,целиком
ha-ge,EM-DEMG
rajun.di,район(IN)
a-je,{IN}быть-PT
daʜan-tː-ar,DEGR-S-PL
al…,[повиноваться]
χabar,весть
ʁuš-a-s,брать-IPF-PRS
sa,один
kar,дело
k’ewi,в_затруднение
arx-u-guna,{IN}попадать-PF-TEMP
sa,один
kümek,помощь
aq’-u-b,делать-PF-MSD
badala,для
sa,один
mesliʡat-ar,обсуждение-PL
aq’-u-b,делать-PF-MSD
badala,для
ha-gi-daʜan,EM-DEMG-DEGR
rus,почетный
χümbe-f,женщина-S
ʜisab,счет
aq’-a-ji,делать-IPF-PST
ge,DEMG
ürsün.a-ʔ,Урсун-IN
a-je,{IN}быть-PT
abumuslim,Абумуслим
aʁ-a-f,говорить-IPF-S
a-je-f-ij,{IN}быть-PT-S-COP:PST
mut’alib,Муталиб
aʁ-a-f,говорить-IPF-S
a-je-f-ij,{IN}быть-PT-S-COP:PST
mut’alib.a-n,Муталиб-GEN
či,сестра
ij,COP:PST
ge,DEMG
mut’alib.a-n,Муталиб-GEN
či,сестра
e-j,COP-CONV
faj-i-naje-f-ij,приносить-PF-PT:PRF-S-COP:PST
xe,наш:INCL
li-č,DEML-LAT
ʡali-s,Али-DAT
aw,да
ha-ge,EM-DEMG
suna,Суна
ʜabaw.a,бабушка(ERG)
ʜa-a,знать-PRS
za-s,я-DAT
qːa-n=na,двадцать-S=COORD
c’ejerxi-d –,шестнадцать-S
qːa-n=na,двадцать-S=COORD
c’ejeri-d-punde,семнадцать-S-ORD
is-ar.i,год-PL(TMR)
zun,я
ha-mi-daʜan,EM-DEMM-DEGR
šünükː,ребенок
e,COP
bic’i,маленький
isaq’,Исак
adad,дядя
hamiša,всегда
dustːaʁ-ar.i,тюрьма-PL(IN)
x-a-je-f-ij,стать-IPF-PT:PRS-S-COP:PST
rus,спекулянт
ij,COP:PST
te,DEMT
ʕʷ-a-j,идти-IPF-CONV
q’üdeq’-ar,шкура-PL
c’-a-j,давать-IPF-CONV
saje,другой
ic’-a-j,давать-IPF-CONV
uč,сам
šuluʁ-ar,недостойное_дело-PL
ke-je-f-ij,{SUB/CONT}быть-PT-S-COP:PST
adad,дядя
aχpːa,потом
ha-te,EM-DEMT
qix-i-na,{POST}класть-PF-CONV
ačik-a-je-f-ij,{IN-LAT}гнать-IPF-PT-S-COP:PST
le,DEML
kelbijar.i –,Келбияр(ERG)
le-wr.i,DEML-PL(ERG)
ʡarza-jar,жалоба-PL
ic’-a-j,давать-IPF-CONV
dustːaʁ-ar.i-ʔ,тюрьма-PL-IN
me,DEMM
dustːaʁ.i-ʔ,тюрьма-IN
a-je-guna,{IN}быть-PT-TEMP
kasib,бедный
ʜabaw,бабушка
q’asumʜür.i-n,Касумкент-GEN
rajun.di,район(IN)
χpːit’-ar,Хпит-PL
aʁ-a-jde,говорить-IPF-PT:HAB
ʜür,село
a-je-f-ij,{IN}быть-PT-S-COP:PST
ha-ge,EM-DEMG
χpːit’-ar.i-as,Хпит-PL-(IN)ELAT
ij,COP:PST
χp’itː-ar.i,Хпит-PL(GEN)
ʜür.i-as,село-(IN)ELAT
ij,COP:PST
rus,судья
rus-ar,прокурор-PL
ha-ge-wur,EM-DEMG-PL
sa-ba…,один-[MULT]
sa,один
wäʕda.ji,время(TMR)
ge,DEMG
rus,министр
rus=ra,юстиция=ADD
x-u-nij,стать-PF-AOR:PST
mi-sa,DEMM-LOC(IN)
maχačkːala.ji,Махачкала(IN)
nu,ну
wow-te,OST-DEMT
rus,сороковой
rus-ar.i-s,год-PL-DAT
ha-te,EM-DEMT
wäʕda-jar.i,время-PL(TMR)
ha-gi-n,EM-DEMG-GEN
gada-jar,сын-PL
sa,один
gada,сын
hal=la,теперь=ADD
ame-a,{IN}оставаться-PRS
ha-ge-wr.i-n,EM-DEMG-PL-GEN
tuχum,тухум
rus,Куйбыш
aʁ-a-jde-f,говорить-IPF-PT:PRS-S
rus,Исабеков
rus,Куйбыш
aʁ-a-j,говорить-IPF-CONV
te,DEMT
gada,парень
rajkum.di,райком(GEN)
rus=ra,секретать=ADD
x-u-nij,стать-PF-AOR:PST
aχpːa,потом
ʜar-qa-x-u-nij,знать-RE-стать-PF-AOR:PST
čin,мы:EXCL
ča-s,мы:EXCL-DAT
ʜa-je-f-e,знать-PT:PRS-S-COP
za-s,я-DAT
ti-n,DEMT-GEN
ruš,дочь
a,да
aχpːa,потом
ha-gi-č,EM-DEMG-LAT
zun,я
ʜajwan.di-l,лошадь-SUPER
lix-a-ji,{SUPER}класть-IPF-PST
uč.i,сам(ERG)
kasib.di,бедный(ERG)
za-f-as,я-APUD-ELAT
jarab,PTCL
uč.i-q,сам-POST
ildeš,товарищ
qa-dawa-j,{POST}быть-NEG-CONV
da-x-u-raj,NEG-стать-PF-JUSS
p-u-na,говорить-PF-CONV
uč.i,сам(ERG)
ʜajwan.di,лошадь(GEN)
k’il=la,голова=ADD
fac-u-na,хватать-PF-CONV
zun,я
purar.i-w,седло-APUD
k’il,голова
fac-u-na,хватать-PF-CONV
ha-mi-štːi,EM-DEMM-ADV
alix-i-na,{SUPER}класть-PF-CONV
purar.i-l,седло-SUPER
ʕʷ-a-je-f-ij,идти-IPF-PT:PRS-S-COP:PST
ha-gi-č,EM-DEMG-LAT
xilaba,пешком
q’asumʜür.i-l-di,Касумкент-SUPER-LAT
q’asumʜür.i-l-as,Касумкент-SUPER-ELAT
wartː,вверх
χpːit’-ar.i-l-di,Хпит-PL-SUPER-LAT
qu-ʕʷ-a-guna,RE-идти-IPF-TEMP
ha-gi-štːi,EM-DEMG-ADV
uʁal-ar.i-k,дождь-PL-SUB/CONT
saje-wur.i-k,другой-PL-SUB/CONT
hamiša,всегда
ha-ge,EM-DEMG
bala-jar.i-k,беда-PL-SUB/CONT
ke-je-f-ij,{SUB/CONT}быть-PT-S-COP:PST
aχpːa,потом
aʁ-a-ji,говорить-IPF-PST
raʜmat,покой
x-a-ǯe-tː.i,стать-IPF-PT:OPT-S(ERG)
čːan,дорогой
χʷa,сын
aʁ-a-ji,говорить-IPF-PST
wuna,ты
zi,мой
rik’,сердце
reʜätnač,не_успокоил
wi,твой
rik’,сердце
reʜät,спокойный
daxuj,пусть_не_будет
aʁ-a-ji,говорить-IPF-PST
isaq’,Исак
add.a-s,дядя-DAT
ja,или
x-u=ra,стать-PF=ADD
q’-u-ndawa,делать-PF-AOR:NEG
isaq’,Исак
add.a,дядя(GEN)
jurk’,сердце
reʜät,легкий
aχpːa,потом
sa,один
ara.ji,промежуток(TMR)
deʕü.ji,война(GEN)
is-ar.i,год-PL(TMR)
jaχc’ur=na,сорок=COORD
ʡu-d,два-S
e-wa,COP-Q
xibu-d-punde…,три-S-ORD
jaχc’ur=na,сорок=COORD
ʡu-d-punde,два-S-ORD
is-ar.i,год-PL(TMR)
itːar-x-u-ne,болеть-стать-PF-AOR
aχun-ar.i-l,постель-PL-SUPER
x-u-ne,стать-PF-AOR
aχpːa,потом
ha-me,EM-DEMM
qːʷal.a-q=ra,сторона-POST=ADD
ha-mi-štːi,EM-DEMM-ADV
t’aʜ-u-na,опухать-PF-CONV
ha-mi-štːi,EM-DEMM-ADV
qːʷal,сторона
x-u-nij,стать-PF-AOR:PST
ha-gi-n,EM-DEMG-GEN
rus,печень
e-wa,COP-Q
ge,DEMG
fi-jči,что-INDEF
ha-gi-štːi,EM-DEMG-ADV
t’aʜ-u-na,опухать-PF-CONV
čːünü,точило
xitːindi,похожий
kʷa,находится
pːaan,бабушкин
inik,здесь
aʁ-a-ji,говорить-IPF-PST
t’azwa,болит
ha-me,EM-DEMM
qːʷal,сторона
fi-štːi-n,что-ADV-GEN
fi-štːi-n,что-ADV-GEN
ʡülǯen,точило
ʡülǯen.i-s,точило-DAT
aʁ-a-f-e,говорить-IPF-S-COP
čːünü,точило
lezgi,лезгин
č’al.a-l-di,речь-SUPER-LAT
čːünü,точило
aʁ-a-ji,говорить-IPF-PST
xe-tː-ar.i,наш:INCL-S-PL(ERG)
me,DEMM
rus…,точилка
rus.i-s,точило-DAT
ʜa-a,знать-PRS
za-s,я-DAT
fi.tːi-s,что-DAT
aʁ-a-je-f-e-j-či,говорить-IPF-PT:PRS-S-COP-CONV-COND
ʡülǯen,точило
ʡülǯen,точило
aʁ-a-je-f-e,говорить-IPF-PT:PRS-S-COP
