date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
03/08/1965,"Honolulu Hawaii Area",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7464725-HonoluluHawaiiArea.pdf,-157.8556764,21.304547,#122c87,medium,lighthouse
03/08/1965,"San Mateo, Californi",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7464900-SanMateo-California.pdf,-122.3330573,37.496904,#122c87,medium,lighthouse
03/08/1965,"Gregory, Texas",light,Astro(Venus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7462198-Gregory-Texas.pdf,-97.2899915,27.9222444,#122c87,medium,lighthouse
03/08/1965,"Cocoa, Florida",light,mirage,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7464224-Cocoa-Florida.pdf,-80.7419984,28.3861159,#c713e7,medium,cross
03/08/1965,"Brooklyn, New York",,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461290-Brooklyn-NewYork.pdf,-73.9495823,40.6501038,#f90105,medium,triangle-stroked
04/08/1965,"Casa Grande, Arizona",flying object,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7468282-CasaGrande-Arizona.pdf,-111.7575614,32.8793816,#f90105,medium,triangle-stroked
04/08/1965,"Dallas, Texas",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7468345-Dallas-Texas.pdf,-96.7968559,32.7762719,#122c87,medium,lighthouse
04/08/1965,"Savielle, New York",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7468727-Savielle-NewYork.pdf,-73.7614651,42.8910053,#122c87,medium,lighthouse
04/08/1965,"Bangor, Maine",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7468760-Bangor-Maine.pdf,-68.7778138,44.8011821,#319f1d,medium,airport
04/08/1965,"Glenmora, Louisiana",flying object,Astro(meteor shower),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7469123-Glenmora-Louisiana.pdf,-92.5851402,30.9765797,#122c87,medium,lighthouse
04/08/1965,"Albany, Oregon",flying object,Astro(Acturus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7469231-Albany-Oregon.pdf,-123.1059324,44.6365071,#122c87,medium,lighthouse
04/08/1965,"Tinley Park, Illinois",flying object,unidentified,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7469766-TinleyPark-Illinois.pdf,-87.7844944,41.5733669,#c713e7,medium,cross
04/08/1965,"Clovis, California",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7470030-Clovis-California.pdf,-119.7029194,36.8252277,#4089ba,medium,circle-stroked
04/08/1965,"Waldport, Oregon",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7470088-Waldport-Oregon.pdf,-124.06868,44.426784,#4089ba,medium,circle-stroked
04/08/1965,"Sacramento, California",light,missile,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7468685-Sacramento-California.pdf,-121.4943996,38.5815719,#c713e7,medium,cross
04/08/1965,"Honolulu, Hawaii",light,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7469688-Honolulu-Hawaii.pdf,-157.846644178573,21.3250785,#f90105,medium,triangle-stroked
