date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
30/09/1965,"Rehoboth, Mass",flying object,misinterpretation ,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-9372513-Rehoboth-Mass.pdf,-71.2494938,41.8403786,#23ed0c,medium,rocket
30/09/1965,"Fayetteville, Arkansas",flying object,insufficient data,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-9372575-Fayetteville-Arkansas.pdf,-94.1574328,36.0625843,#23ed0c,medium,rocket
10/1965,"Clarksburg, W. Virginia",flying object,Astro(Jupiter),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8688727-Clarksburg-W-Virginia.pdf,-80.3445341,39.2806451,#23ed0c,medium,rocket
1/10/1965,"Los Angeles, California",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689178-LosAngeles-California.pdf,-118.2427669,34.0536834,#23ed0c,medium,rocket
2/10/1965,"Dayton, Ohio",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
2/10/1965,"Dayton, Ohio",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
2/10/1965,"Monroe, New York",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8690732-Monroe-NewYork.pdf,-77.6810141,43.150094,#23ed0c,medium,rocket
2/10/1965,"San Gabriel, California",flying object,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8690941-SanGabriel-California.pdf,-118.1086041,34.0991325,#23ed0c,medium,rocket
3/10/1965,"Independence, Ky",flying object,Astro(Venus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8690978-Independence-Ky.pdf,-84.544109,38.9431183,#23ed0c,medium,rocket
3/10/1965,"Cannon, AFB, New Mexico",flying object,Astro(Acturus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8691828-CannonAFB-NewMexico.pdf,-103.3209673,34.382445,#23ed0c,medium,rocket
4/10/1965,"Hanover, Pennsylvania",flying object,Astro(star/planet),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8692290-Hanover-Pennsylvania.pdf,-76.9842735,39.8063247,#23ed0c,medium,rocket
5/10/1965,"Wayne, Pennsylvania",light,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8692335-Wayne-Pennsylvania.pdf,-75.3045103,41.6264414,#ebe30f,medium,star
